_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efe8665ed5f4f5594034d2b'},3.0,1.0,{'d9': 7},1593738853.1223273,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.12478,Node 4,Transaction initiated,
{'$oid': '5efe8665ed5f4f5594034d2d'},3.0,1.0,{'d9': 7},1593738853.1223273,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.142837,Node 4,Transaction in validated,
{'$oid': '5efe866571bc1e1fc5288dc8'},3.0,1.0,{'d9': 7},1593738853.1223273,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.1518958,Node 3,Transaction received,
{'$oid': '5efe8665a5b45c7ce8ef9440'},3.0,1.0,{'d9': 7},1593738853.1223273,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.1655982,Node 5,Transaction received,
{'$oid': '5efe8665e548e2a282bd0e8d'},3.0,1.0,{'d9': 7},1593738853.1223273,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.1738873,Node 2,Transaction received,
{'$oid': '5efe86654dc6ac0b730296e6'},3.0,1.0,{'d9': 7},1593738853.1223273,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.1890564,Node 1,Transaction received,
{'$oid': '5efe86654dc6ac0b730296e8'},,,,,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.20215,Node 1,Transaction validated (without qc),3_1
{'$oid': '5efe8665e548e2a282bd0e8f'},,,,,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.2086747,Node 2,Transaction validated (without qc),3_1
{'$oid': '5efe8665a5b45c7ce8ef9442'},,,,,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.2232156,Node 5,Transaction validated (without qc),3_1
{'$oid': '5efe866571bc1e1fc5288dca'},,,,,776b8aaed063ced59af0946b2fbe2c6df7fc5e51878cdad8e3f7c0bb571b2040,1593738853.228426,Node 3,Transaction validated (without qc),3_1
