_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efdd90d66d8f138d745c619'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.0324066,Node 4,Transaction initiated,
{'$oid': '5efdd90d66d8f138d745c61b'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.0528986,Node 4,Transaction in validated,
{'$oid': '5efdd90d069fdc563046fcb1'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.0601158,Node 18,Transaction received,
{'$oid': '5efdd90d29e6aac647f3a7cf'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.067216,Node 13,Transaction received,
{'$oid': '5efdd90dfd2ae0d0d071b42b'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.075211,Node 7,Transaction received,
{'$oid': '5efdd90da276e721a9e6008d'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.083417,Node 17,Transaction received,
{'$oid': '5efdd90dd48a0853be1e9387'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.095569,Node 19,Transaction received,
{'$oid': '5efdd90dc223e7a872f18cd0'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.1249003,Node 6,Transaction received,
{'$oid': '5efdd90d1baf19fca3efba53'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.1414778,Node 12,Transaction received,
{'$oid': '5efdd90d2c18af058a96aaf8'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.1514008,Node 2,Transaction received,
{'$oid': '5efdd90d6bc3bb2da2d61c1e'},2.0,1.0,{'d1': 5},1593694477.0307958,61c7810741b078ed23eb45037ca20ff8ff24a89e978ef10c12081e028609d1bc,1593694477.1691244,Node 1,Transaction received,
