_id,CI,term,data,timestamp,Transaction ID,Time in DB,Node,activity,Quality Control ID
{'$oid': '5efe859b7ecc8c07f61a16e8'},3.0,1.0,{'d9': 7},1593738651.107845,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1097233,Node 4,Transaction initiated,
{'$oid': '5efe859b7ecc8c07f61a16ea'},3.0,1.0,{'d9': 7},1593738651.107845,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1305873,Node 4,Transaction in validated,
{'$oid': '5efe859bf9631a6c95644113'},3.0,1.0,{'d9': 7},1593738651.107845,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1410942,Node 3,Transaction received,
{'$oid': '5efe859b297ded8386153277'},3.0,1.0,{'d9': 7},1593738651.107845,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1493468,Node 5,Transaction received,
{'$oid': '5efe859b3de02f0ddd494657'},3.0,1.0,{'d9': 7},1593738651.107845,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.157394,Node 2,Transaction received,
{'$oid': '5efe859bdca6cc185915cf72'},3.0,1.0,{'d9': 7},1593738651.107845,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1710567,Node 1,Transaction received,
{'$oid': '5efe859bdca6cc185915cf74'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1839888,Node 1,Opening quality control,3_1
{'$oid': '5efe859bdca6cc185915cf76'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1875446,Node 1,Filling quality control,3_1
{'$oid': '5efe859b3de02f0ddd494659'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.193331,Node 2,Opening quality control,3_1
{'$oid': '5efe859b3de02f0ddd49465b'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.1976082,Node 2,Filling quality control,3_1
{'$oid': '5efe859b297ded8386153279'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.21369,Node 5,Opening quality control,3_1
{'$oid': '5efe859b297ded838615327b'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.217843,Node 5,Filling quality control,3_1
{'$oid': '5efe859bf9631a6c95644115'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.2218843,Node 3,Opening quality control,3_1
{'$oid': '5efe859bf9631a6c95644117'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.2242913,Node 3,Filling quality control,3_1
{'$oid': '5efe859b7ecc8c07f61a16ec'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.2328198,Node 4,Opening quality control,3_1
{'$oid': '5efe859b7ecc8c07f61a16ee'},,,,,a09ca816db3b3ac0b5b7ce73140643a7a0cb033197ff328294a15eb61af679e0,1593738651.2369688,Node 4,Filling quality control,3_1
{'$oid': '5efe859b3de02f0ddd49465d'},7.0,1.0,{'d10': 41},1593738651.2455664,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.2471135,Node 2,Transaction initiated,
{'$oid': '5efe859b3de02f0ddd49465f'},7.0,1.0,{'d10': 41},1593738651.2455664,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.250689,Node 2,Transaction in validated,
{'$oid': '5efe859b7ecc8c07f61a16f0'},7.0,1.0,{'d10': 41},1593738651.2455664,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.2578552,Node 4,Transaction received,
{'$oid': '5efe859bf9631a6c95644119'},7.0,1.0,{'d10': 41},1593738651.2455664,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.266947,Node 3,Transaction received,
{'$oid': '5efe859b297ded838615327d'},7.0,1.0,{'d10': 41},1593738651.2455664,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.276914,Node 5,Transaction received,
{'$oid': '5efe859bdca6cc185915cf78'},7.0,1.0,{'d10': 41},1593738651.2455664,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.2919753,Node 1,Transaction received,
{'$oid': '5efe859bdca6cc185915cf7a'},,,,,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.3048096,Node 1,Opening quality control,7_1
{'$oid': '5efe859bdca6cc185915cf7c'},,,,,f94e60ce54b6c06f2100aa142f0e1c715c82ae7702b97970096ee105cd0fdcff,1593738651.3076406,Node 1,Filling quality control,7_1
